Position ID, Axis0, Axis1, Axis2
0,-5242,-5242,-5242
1,-1913651,-2752512,-3381657
2,256901,-2181038,-477102
3,1876951,1562378,1955594
4,1876951,-3308257,-94371
5,750948,-2148569,785651
